Name,Version,Category,Description,Repository,Commit
"Chuck Norris Jokes","1.0.0","speechhandler","Have Naomi tell random Chuck Norris Jokes","https://github.com/austincasteel/chucknorrisjokes.git","63447cf"
"Control LED","1.0.2","speechhandler","A simple module that combines Naomi and the Arduino platform to show possibilities in IOT and new interactions.","https://github.com/NaomiProject/controlLED-plugin.git","340598e"
"Dad Jokes","1.0.0","speechhandler","Have Naomi tell Dad Jokes","https://github.com/austincasteel/dadjokes.git","ca358fa"
"Deep Speech","1.0.0","stt","Speech-To-Text implementation which relies on the DeepSpeech api","https://github.com/AustinCasteel/deepspeech-stt.git","faa0063"
"Facebook Birthdays","1.0.0","speechhandler","Keep track of Facebook friends' birthdays","https://github.com/austincasteel/facebookbirthdays.git","aac83ea"
"Facebook Notifications","1.0.0","speechhandler","Get notifications for Facebook events","https://github.com/austincasteel/facebooknotifications.git","2eb8979"
"frotz","0.1.0","speechhandler","Would you like to play a game?","https://github.com/aaronchantrill/NaomiFrotz.git","a8c0ce0"
"Google AIY Voice V1 Visualizations","1.0.0","visualizations","Visualizations of Naomi's internal state for the Google AIY Voice V1 kit","https://github.com/aaronchantrill/Naomi_Google_AIY_Voice_v1_Button.git","bba73f4"
"googlecalendar","1.1.0","speechhandler","Set and retrieve events from your Google calendar","https://github.com/aaronchantrill/Naomi-Google-Calendar.git","31bc380"
"Pocketsphinx_KWS","0.0.1","stt","Keyword recognizer that uses threshold confidence values to match a few words. When combined with a personalized acoustic model, this works reasonably well.","https://github.com/aaronchantrill/Naomi_Google_AIY_Voice_v1_Button.git","dd9edae"
"Respeaker 4Mic Volume","1.0.0","visualizations","LED Display for SeeedStudio Respeaker","https://github.com/aaronchantrill/respeaker_4mic_volume.git","c8904e8"
"You're Welcome","0.0.1","speechhandler","Answers ""Thank you"" with ""You're welcome""","https://github.com/aaronchantrill/YoureWelcome.git","3885b71"
